Decimal,Hex,Mode,Alpha Tag,Description,Tag,Category
16,010,DE,SFPD TAC 7,Tactical 7,Law Tac,Police
48,030,DE,SFPD TAC B14,Tactical B14,Law Tac,Police
80,050,DE,SFPD NARC 2,Narcotics 2,Law Tac,Police
112,070,DE,SFPD NARC 3,Narcotics 3,Law Tac,Police
144,090,DE,SFPD NARC 4,Narcotics 4,Law Tac,Police
176,0b0,DE,SFPD NARC 5,Narcotics 5,Law Tac,Police
208,0d0,DE,SFPD SID 2,Special Investigations Division 2,Law Tac,Police
240,0f0,DE,SFPD VICE 1,Vice 1,Law Tac,Police
272,110,DE,SFPD CMD 1,Command 1,Law Talk,Police
304,130,DE,SFPD CMD 2,Command 2,Law Talk,Police
400,190,DE,SFPD Encr 400,Encrypted,Law Talk,Police
432,1b0,DE,SFPD Encr 432,Encrypted,Law Talk,Police
528,210,DE,SFPD Encr 528,Encrypted,Law Talk,Police
560,230,DE,SFPD Encr 560,Encrypted,Law Talk,Police
592,250,DE,SFPD Encr 592,Encrypted,Law Talk,Police
720,2d0,DE,SFPD Encr 720,Encrypted,Law Talk,Police
944,3b0,DE,SFFD EMS1,EMS 1  FDB13  MedicHospital  All Hospitals,Hospital,EMS
976,3d0,DE,SFFD EMS2,EMS 2  FDB14  MedicHospital  SFGH,Hospital,EMS
1008,3f0,DE,SFFD B7,Arson,Fire-Talk,Fire
12848,3230,A,SFPD A1,Dispatch Mobiles  Southern B  Tenderloin J Districts,Law Dispatch,Police
12880,3250,A,SFPD A2,Service Portables  Southern B  Tenderloin J Districts,Law Talk,Police
12912,3270,A,SFPD A3,Dispatch Mobiles  Bayview C  Mission D Districts,Law Dispatch,Police
12944,3290,A,SFPD A4,Service Portables  Bayview C  Mission D Districts,Law Talk,Police
12976,32b0,A,SFPD A5,Dispatch Mobiles  Central A  Northern E  Park F Districts,Law Dispatch,Police
13008,32d0,A,SFPD A6,Service Portables  Central A  Northern E  Park F Districts,Law Talk,Police
13040,32f0,A,SFPD A7,Dispatch Mobiles  Richmond G  Ingleside H  Taraval I Districts,Law Dispatch,Police
13072,3310,A,SFPD A8,Service Portables  Richmond G  Ingleside H  Taraval I Districts,Law Talk,Police
13104,3330,A,SFPD A9,Dispatch Spare,Law Dispatch,Police
13136,3350,A,SFPD A10,Dispatch Spare,Law Dispatch,Police
13168,3370,A,SFPD A11,PAT  Muni  Tac  Traffic,Law Talk,Police
13200,3390,A,SFPD A12,Dispatch Spare,Law Dispatch,Police
13232,33b0,A,SFPD A13,Station Service A B E F J,Law Talk,Police
13264,33d0,A,SFPD A14,Station Service C D G H I,Law Talk,Police
13296,33f0,A,SFPD PAROLE,Parole,Law Talk,Police
13360,3430,A,SFPD MA 1,Mutual Aid 1,Law Tac,Police
13392,3450,A,SFPD MA 2,Mutual Aid 2,Law Tac,Police
13424,3470,A,SFPD MA 3,Mutual Aid 3,Law Tac,Police
13520,34d0,A,EVENT 1,All City Event 1,Interop,CitywideMutual Aid
13552,34f0,A,EVENT 2,All City Event 2,Interop,CitywideMutual Aid
13584,3510,A,SAFEVT 1,Public Safety Event 1,Interop,CitywideMutual Aid
13616,3530,A,SAFEVT 2,Public Safety Event 2,Interop,CitywideMutual Aid
13648,3550,A,SAFEVT 3,Public Safety Event 3,Interop,CitywideMutual Aid
13680,3570,A,MAP,Mobile Assistance Patrol,Public Works,Public Service Emergency Radio System
13712,3590,A,SFPD B3,Tactical B3,Law Talk,Police
13840,3610,A,ENF EVT 1,Enforcement Event 1,Interop,CitywideMutual Aid
13872,3630,A,ENF EVT 2,Enforcement Event 2,Interop,CitywideMutual Aid
13904,3650,A,ENF EVT 3,Enforcement Event 3,Interop,CitywideMutual Aid
13936,3670,A,ENF EVT 4,Enforcement Event 4,Interop,CitywideMutual Aid
13968,3690,A,SFPD HSU,Homeland Security Unit,Law Talk,Police
14064,36f0,A,SFPD MA 4,Mutual Aid 4,Law Tac,Police
14224,3790,A,SFPD MA 5,Mutual Aid 5,Law Tac,Police
14544,38d0,A,SFPD INV 1,Investigations 1  Administration,Law Talk,Police
14704,3970,A,SFPD TRNG 1,Training 1,Law Talk,Police
