16,DE,SFPD TAC 7,Tactical 7,Law Tac,Police,100
48,DE,SFPD TAC B14,Tactical B14,Law Tac,Police,100
80,DE,SFPD NARC 2,Narcotics 2,Law Tac,Police,100
112,DE,SFPD NARC 3,Narcotics 3,Law Tac,Police,100
144,DE,SFPD NARC 4,Narcotics 4,Law Tac,Police,100
176,DE,SFPD NARC 5,Narcotics 5,Law Tac,Police,100
208,DE,SFPD SID 2,Special Investigations Division 2,Law Tac,Police,100
240,DE,SFPD VICE 1,Vice 1,Law Tac,Police,100
272,DE,SFPD CMD 1,Command 1,Law Talk,Police,100
304,DE,SFPD CMD 2,Command 2,Law Talk,Police,100
400,DE,SFPD Encr 400,Encrypted,Law Talk,Police,100
432,DE,SFPD Encr 432,Encrypted,Law Talk,Police,100
528,DE,SFPD Encr 528,Encrypted,Law Talk,Police,100
560,DE,SFPD Encr 560,Encrypted,Law Talk,Police,100
592,DE,SFPD Encr 592,Encrypted,Law Talk,Police,100
720,DE,SFPD Encr 720,Encrypted,Law Talk,Police,100
944,DE,SFFD EMS1,EMS 1  FDB13  MedicHospital  All Hospitals,Hospital,EMS,100
976,DE,SFFD EMS2,EMS 2  FDB14  MedicHospital  SFGH,Hospital,EMS,100
1008,DE,SFFD B7,Arson,Fire-Talk,Fire,100
12848,A,SFPD A1,Dispatch Mobiles  Southern B  Tenderloin J Districts,Law Dispatch,Police,100
12880,A,SFPD A2,Service Portables  Southern B  Tenderloin J Districts,Law Talk,Police,100
12912,A,SFPD A3,Dispatch Mobiles  Bayview C  Mission D Districts,Law Dispatch,Police,100
12944,A,SFPD A4,Service Portables  Bayview C  Mission D Districts,Law Talk,Police,100
12976,A,SFPD A5,Dispatch Mobiles  Central A  Northern E  Park F Districts,Law Dispatch,Police,100
13008,A,SFPD A6,Service Portables  Central A  Northern E  Park F Districts,Law Talk,Police,100
13040,A,SFPD A7,Dispatch Mobiles  Richmond G  Ingleside H  Taraval I Districts,Law Dispatch,Police,100
