Decimal,Alpha Tag,Mode,Hex,Description,Tag,Category
16,SFPD TAC 7,DE,010,Tactical 7,Law Tac,Police
48,SFPD TAC B14,DE,030,Tactical B14,Law Tac,Police
80,SFPD NARC 2,DE,050,Narcotics 2,Law Tac,Police
112,SFPD NARC 3,DE,070,Narcotics 3,Law Tac,Police
144,SFPD NARC 4,DE,090,Narcotics 4,Law Tac,Police
176,SFPD NARC 5,DE,0b0,Narcotics 5,Law Tac,Police
208,SFPD SID 2,DE,0d0,Special Investigations Division 2,Law Tac,Police
240,SFPD VICE 1,DE,0f0,Vice 1,Law Tac,Police
272,SFPD CMD 1,DE,110,Command 1,Law Talk,Police
304,SFPD CMD 2,DE,130,Command 2,Law Talk,Police
400,SFPD Encr 400,DE,190,Encrypted,Law Talk,Police
432,SFPD Encr 432,DE,1b0,Encrypted,Law Talk,Police
528,SFPD Encr 528,DE,210,Encrypted,Law Talk,Police
560,SFPD Encr 560,DE,230,Encrypted,Law Talk,Police
592,SFPD Encr 592,DE,250,Encrypted,Law Talk,Police
720,SFPD Encr 720,DE,2d0,Encrypted,Law Talk,Police
944,SFFD EMS1,DE,3b0,EMS 1  FDB13  MedicHospital  All Hospitals,Hospital,EMS
976,SFFD EMS2,DE,3d0,EMS 2  FDB14  MedicHospital  SFGH,Hospital,EMS
1008,SFFD B7,DE,3f0,Arson,Fire-Talk,Fire
12848,SFPD A1,A,3230,Dispatch Mobiles  Southern B  Tenderloin J Districts,Law Dispatch,Police
12880,SFPD A2,A,3250,Service Portables  Southern B  Tenderloin J Districts,Law Talk,Police
12912,SFPD A3,A,3270,Dispatch Mobiles  Bayview C  Mission D Districts,Law Dispatch,Police
12944,SFPD A4,A,3290,Service Portables  Bayview C  Mission D Districts,Law Talk,Police
12976,SFPD A5,A,32b0,Dispatch Mobiles  Central A  Northern E  Park F Districts,Law Dispatch,Police
13008,SFPD A6,A,32d0,Service Portables  Central A  Northern E  Park F Districts,Law Talk,Police
13040,SFPD A7,A,32f0,Dispatch Mobiles  Richmond G  Ingleside H  Taraval I Districts,Law Dispatch,Police
13072,SFPD A8,A,3310,Service Portables  Richmond G  Ingleside H  Taraval I Districts,Law Talk,Police
13104,SFPD A9,A,3330,Dispatch Spare,Law Dispatch,Police
13136,SFPD A10,A,3350,Dispatch Spare,Law Dispatch,Police
13168,SFPD A11,A,3370,PAT  Muni  Tac  Traffic,Law Talk,Police
13200,SFPD A12,A,3390,Dispatch Spare,Law Dispatch,Police
13232,SFPD A13,A,33b0,Station Service A B E F J,Law Talk,Police
13264,SFPD A14,A,33d0,Station Service C D G H I,Law Talk,Police
13296,SFPD PAROLE,A,33f0,Parole,Law Talk,Police
13360,SFPD MA 1,A,3430,Mutual Aid 1,Law Tac,Police
13392,SFPD MA 2,A,3450,Mutual Aid 2,Law Tac,Police
13424,SFPD MA 3,A,3470,Mutual Aid 3,Law Tac,Police
13520,EVENT 1,A,34d0,All City Event 1,Interop,CitywideMutual Aid
13552,EVENT 2,A,34f0,All City Event 2,Interop,CitywideMutual Aid
13584,SAFEVT 1,A,3510,Public Safety Event 1,Interop,CitywideMutual Aid
13616,SAFEVT 2,A,3530,Public Safety Event 2,Interop,CitywideMutual Aid
13648,SAFEVT 3,A,3550,Public Safety Event 3,Interop,CitywideMutual Aid
13680,MAP,A,3570,Mobile Assistance Patrol,Public Works,Public Service Emergency Radio System
13712,SFPD B3,A,3590,Tactical B3,Law Talk,Police
13840,ENF EVT 1,A,3610,Enforcement Event 1,Interop,CitywideMutual Aid
13872,ENF EVT 2,A,3630,Enforcement Event 2,Interop,CitywideMutual Aid
13904,ENF EVT 3,A,3650,Enforcement Event 3,Interop,CitywideMutual Aid
13936,ENF EVT 4,A,3670,Enforcement Event 4,Interop,CitywideMutual Aid
13968,SFPD HSU,A,3690,Homeland Security Unit,Law Talk,Police
14064,SFPD MA 4,A,36f0,Mutual Aid 4,Law Tac,Police
14224,SFPD MA 5,A,3790,Mutual Aid 5,Law Tac,Police
14544,SFPD INV 1,A,38d0,Investigations 1  Administration,Law Talk,Police
